name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Київ, Україна",2024-09-01T00:00:00,23.4,23.4,9.1,40.17,0,0,,0,0,16.2,3.6,60,1019.7,94.2,20,0,0,0,,Overcast,cloudy,33345099999
"Київ, Україна",2024-09-01T01:00:00,18.1,18.1,12.7,70.72,0,0,,0,0,15.1,8.6,46.7,1020,94,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T02:00:00,18.1,18.1,12.9,71.65,0,0,,0,0,14.4,7.9,40.1,1019,94.6,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T03:00:00,22.2,22.2,9.4,44.08,0,0,,0,0,13.7,3.6,50,1018.9,84.6,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-09-01T04:00:00,18.1,18.1,13.3,73.54,0,0,,0,0,13.7,8.3,36.3,1019,90.6,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T05:00:00,16.8,16.8,12.9,77.78,0,0,,0,0,12.6,8.3,41.7,1018,96,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T06:00:00,20.1,20.1,10.7,54.7,0,0,,0,0,13,7.2,50,1018.6,80,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-09-01T07:00:00,17.1,17.1,12.7,75.32,0,0,,0,0,13.3,8.6,40.8,1019,98.2,,15.8,0.1,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T08:00:00,20.5,20.5,13.4,63.75,0,0,,0,0,15.5,9.4,49.5,1019,99,,94.7,0.3,1,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T09:00:00,21.7,21.7,11.7,52.97,0,0,,0,0,16.9,0,61.5,1018.5,80,20,203.4,0.7,2,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-09-01T10:00:00,19.9,19.9,11.9,59.96,0,0,,0,0,18.4,7.9,69.3,1019,98.4,,330.7,1.2,3,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T11:00:00,26.7,26.7,12.4,41.09,0,0,,0,0,20.2,8.6,78.6,1019,92.4,,463.9,1.7,5,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T12:00:00,27.7,27.3,12.2,38.24,0,0,,0,0,21.6,7.2,20,1018,90,20,527.3,1.9,5,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-09-01T13:00:00,30.4,29.4,12.4,33.14,0,0,,0,0,23,9.4,91,1018,97.8,,604,2.2,6,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T14:00:00,30.5,29.5,12.8,33.83,0,0,,0,0,24.5,10.4,84.8,1018,97.4,,577.4,2.1,6,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T15:00:00,32.6,31.2,11.7,27.93,0,0,,0,0,25.6,7.2,140,1018.5,90,20,492.4,1.8,5,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-09-01T16:00:00,30.9,29.9,12.7,32.85,0,0,,0,0,25.6,11.9,76.9,1018,99.2,,403.4,1.5,4,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T17:00:00,29.2,28.6,13.5,38.16,0,0,,0,0,25.2,9,78.7,1017,98.4,,250.3,0.9,3,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T18:00:00,28.4,27.4,9.2,30.07,0,0,,0,0,19.1,7.2,170,1017.4,100,20,125.1,0.5,1,,Overcast,cloudy,33345099999
"Київ, Україна",2024-09-01T19:00:00,28.9,28.4,13.8,39.6,0,0,,0,0,14.8,8.3,98,1018,99.8,,56,0.2,1,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T20:00:00,24,24,13.7,52.53,0,0,,0,0,15.5,8.6,113.4,1018,100,,7.4,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T21:00:00,24.4,24.4,11.4,44.1,0,0,,0,0,17.3,0,125.2,1018,100,20,0,0,0,,Overcast,cloudy,33345099999
"Київ, Україна",2024-09-01T22:00:00,24,24,13.3,51.18,0,0,,0,0,12.2,7.2,132.9,1019,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-01T23:00:00,21.6,21.6,14.3,63.17,0,0,,0,0,11.5,6.5,132.2,1018,99.2,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-02T00:00:00,23.4,23.4,11.7,47.77,0,0,,0,0,7.9,0,340,1018.6,100,20,0,0,0,,Overcast,cloudy,33345099999
"Київ, Україна",2024-09-02T01:00:00,19.4,19.4,13.5,68.69,0,0,,0,0,8.3,3.6,3.1,1019,98.4,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-02T02:00:00,19.9,19.9,14.2,69.69,0,0,,0,0,13,8.6,30.9,1018,99,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-02T03:00:00,22.9,22.9,11.9,49.89,0,0,,0,0,17.6,0,54.6,1018,90,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-09-02T04:00:00,20.5,20.5,14.2,67.15,0,0,,0,0,19.1,10.1,59.4,1018,94.5,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-09-02T05:00:00,18.9,18.9,12.6,66.82,0,0,,0,0,18.4,9.7,64.2,1019,83.5,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-09-02T06:00:00,22.1,22.1,9.9,45.86,0,0,,0,0,16.9,0,64.5,1018.5,90,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-09-02T07:00:00,18.8,18.8,11.4,62.13,0,0,,0,0,17.6,10.1,62.9,1019,58.8,,13,0,0,,Partially cloudy,partly-cloudy-day,remote
"Київ, Україна",2024-09-02T08:00:00,21.2,21.2,11.3,53.19,0,0,,0,0,19.8,11.2,61.9,1019,66.2,,91.9,0.3,1,,Partially cloudy,partly-cloudy-day,remote
"Київ, Україна",2024-09-02T09:00:00,23.2,23.2,9.7,42.33,0,0,,0,0,22,3.6,130,1019.2,90,20,222.8,0.8,2,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-09-02T10:00:00,21.3,21.3,10.5,50.13,0,0,,0,0,26.3,12.6,61,1019,45.6,,389.6,1.4,4,,Partially cloudy,partly-cloudy-day,remote
"Київ, Україна",2024-09-02T11:00:00,27,26.6,10.1,34.67,0,0,,0,0,28.4,13.3,53.1,1019,50.6,,539.2,1.9,5,,Partially cloudy,partly-cloudy-day,remote
"Київ, Україна",2024-09-02T12:00:00,27.7,26.8,7.4,27.72,0,0,,0,0,31.7,10.8,40,1018.4,50,20,620.2,2.2,6,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-09-02T13:00:00,29.5,28,7.8,25.66,0,0,,0,0,36.4,14.4,44.6,1018,63.5,,677.6,2.4,7,,Partially cloudy,partly-cloudy-day,remote
"Київ, Україна",2024-09-02T14:00:00,29.4,27.9,7.6,25.46,0,0,,0,0,36.7,14,43.1,1018,43.3,,686.6,2.5,7,,Partially cloudy,partly-cloudy-day,remote
"Київ, Україна",2024-09-02T15:00:00,28.9,27.5,6.2,23.81,0,0,,0,0,35.6,10.8,40,1017.1,30,20,645,2.3,6,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-09-02T16:00:00,29.2,27.9,9,28.32,0,0,,0,0,33.1,15.5,36.1,1017,17.3,,547.6,2,5,,Clear,clear-day,remote
"Київ, Україна",2024-09-02T17:00:00,28.6,27.7,10.6,32.64,0,0,,0,0,31.7,16.2,32.8,1017,2.6,,409.1,1.5,4,,Clear,clear-day,remote
"Київ, Україна",2024-09-02T18:00:00,29.1,27.7,7.2,25.21,0,0,,0,0,29.9,7.2,40,1016.6,40,20,262.3,0.9,3,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-09-02T19:00:00,28.6,27.9,12,35.82,0,0,,0,0,23.8,13,26.6,1017,15.5,,111.4,0.4,1,,Clear,clear-day,remote
"Київ, Україна",2024-09-02T20:00:00,23.4,23.4,12.9,51.69,0,0,,0,0,20.9,12.6,23.2,1017,15.4,,11.9,0,0,,Clear,clear-night,remote
"Київ, Україна",2024-09-02T21:00:00,26.1,26.1,7.7,31.09,0,0,,0,0,20.5,7.2,10,1017.2,30,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-09-02T22:00:00,23.5,23.5,13.7,54.14,0,0,,0,0,23,12.6,23.8,1017,8,,0,0,0,,Clear,clear-night,remote
"Київ, Україна",2024-09-02T23:00:00,20.9,20.9,13.3,61.79,0,0,,0,0,22.3,11.9,33.4,1017,0,,0,0,0,,Clear,clear-night,remote
"Київ, Україна",2024-09-03T00:00:00,23.4,23.4,10.4,43.82,0,0,,0,0,20.9,10.8,350,1017.3,0,20,0,0,0,,Clear,clear-night,33345099999
"Київ, Україна",2024-09-03T01:00:00,18.3,18.3,12.5,68.92,0,0,,0,0,18.4,8.6,52.5,1018,5.4,,0,0,0,,Clear,clear-night,remote
"Київ, Україна",2024-09-03T02:00:00,18.4,18.4,11.8,65.41,0,0,,0,0,16.2,8.6,55.6,1017,20.2,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-09-03T03:00:00,21.1,21.1,9.7,48.11,0,0,,0,0,16.2,3.6,50,1017.3,31.8,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-09-03T04:00:00,18.6,18.6,10.6,59.66,0,0,,0,0,16.2,8.6,53.1,1018,33.1,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-09-03T05:00:00,17.1,17.1,10.1,63.41,0,0,,0,0,16.2,9,57.6,1018,34.4,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-09-03T06:00:00,19.4,19.4,10.1,54.89,0,0,,0,0,16.2,0,69,1018.3,80,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
