name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Київ, Україна",2023-09-01T00:00:00,20.2,20.2,17.7,85.55,0,0,,0,0,19.8,3.6,330,1011.8,80,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2023-09-01T01:00:00,18.7,18.7,17.1,90.42,0,0,,0,0,21.2,13,323.9,1012,27.3,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2023-09-01T02:00:00,18.5,18.5,17.1,91.56,0,0,,0,0,21.2,12.2,325.9,1013,41.5,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2023-09-01T03:00:00,18.6,18.6,17,90.41,0,0,,0,0,19.8,12.2,324.9,1013,47.3,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2023-09-01T04:00:00,18.5,18.5,16.9,90.41,0,0,,0,0,19.1,13,323.3,1014,75.2,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2023-09-01T05:00:00,17.6,17.6,16.6,93.86,0,0,,0,0,19.1,12.2,325.5,1013,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2023-09-01T06:00:00,18.2,18.2,15.4,83.72,0,0,,0,0,19.8,3.6,320,1013.3,100,20,0,0,0,,Overcast,cloudy,33345099999
"Київ, Україна",2023-09-01T07:00:00,17.5,17.5,16.4,93.26,0,0,,0,0,19.8,10.4,332,1014,99.2,,15.8,0.1,0,,Overcast,cloudy,remote
"Київ, Україна",2023-09-01T08:00:00,18.8,18.8,17.1,89.86,0,0,,0,0,22.3,10.8,335.7,1014,100,,86.4,0.3,1,,Overcast,cloudy,remote
"Київ, Україна",2023-09-01T09:00:00,19.2,19.2,16.4,83.83,0.5,100,rain,0,0,27,3.6,330,1014.3,90,20,204.1,0.7,2,,"Rain, Partially cloudy",rain,33345099999
"Київ, Україна",2023-09-01T10:00:00,18.8,18.8,16.1,84.32,0,0,,0,0,29.2,13.3,330.2,1014,85.4,,260.1,0.9,3,,Partially cloudy,partly-cloudy-day,remote
"Київ, Україна",2023-09-01T11:00:00,22.4,22.4,15.5,65,0,0,,0,0,31,13.7,328.9,1014,59.8,,364.8,1.3,4,,Partially cloudy,partly-cloudy-day,remote
"Київ, Україна",2023-09-01T12:00:00,22.6,22.6,15.9,65.88,0,0,,0,0,32,7.2,310,1014.3,100,20,450.5,1.6,5,,Overcast,cloudy,33345099999
